Make,Colour,Odometer (KM),Doors,Price
Bentley,purple,12096,3,"$26,346"
Ferrari,yellow,58977,2,"$67,021"
Ferrari,lime,1231,5,"$51,611"
Porsche,aqua,10291,7,"$26,268"
McLaren,white,96019,3,"$40,062"
Suzuki,green,71819,7,"$87,468"
BMW,navy,52880,4,"$10,766"
Volkswagen,teal,52070,7,"$38,729"
Toyota,fuchsia,51241,7,"$38,910"
Buick,blue,24367,3,"$6,705"
MINI,yellow,76311,3,"$10,317"
GMC,yellow,32692,3,"$58,020"
Mercedes-Benz,purple,77165,3,"$57,934"
INFINITI,aqua,62006,6,"$64,398"
GMC,purple,69260,3,"$96,982"
Nissan,yellow,20001,6,"$99,302"
Mitsubishi,aqua,45225,7,"$92,368"
Porsche,lime,81553,7,"$73,657"
Buick,green,68545,4,"$39,905"
Chevrolet,green,80015,6,"$91,608"
Volvo,fuchsia,26374,7,"$98,294"
MINI,blue,30375,6,"$97,470"
Acura,navy,88346,4,"$76,635"
Toyota,aqua,88747,6,"$97,374"
Dodge,silver,84575,5,"$73,710"
MAZDA,aqua,68953,2,"$74,966"
GMC,fuchsia,45053,5,"$24,025"
Chevrolet,black,40055,6,"$66,612"
BMW,purple,42683,2,"$27,794"
MAZDA,fuchsia,4637,3,"$30,213"
Volkswagen,navy,19945,4,"$14,780"
Hyundai,blue,88913,6,"$36,776"
Aston Martin,teal,3467,4,"$13,567"
Volkswagen,green,98054,6,"$49,361"
Hyundai,lime,92925,7,"$4,607"
Oldsmobile,maroon,1699,3,"$41,665"
Honda,gray,40801,6,"$16,336"
Mercedes-Benz,purple,65243,2,"$20,121"
Dodge,silver,40289,7,"$9,862"
MAZDA,green,4814,2,"$69,959"
INFINITI,blue,64382,3,"$1,449"
Lincoln,green,82775,4,"$20,582"
Ford,silver,53962,7,"$64,750"
Mercedes-Benz,white,26355,6,"$22,811"
Ford,aqua,9232,2,"$25,879"
Mitsubishi,navy,44760,7,"$66,073"
Scion,navy,61748,2,"$7,867"
GMC,white,32097,2,"$18,803"
Kia,gray,72481,3,"$62,547"
Ford,black,19338,5,"$8,413"
Nissan,olive,38888,5,"$79,822"
Mercedes-Benz,olive,47021,5,"$24,018"
Saturn,silver,82451,5,"$90,132"
Maybach,teal,43698,2,"$22,277"
Ford,lime,36178,3,"$15,410"
MINI,fuchsia,67066,2,"$64,950"
Volkswagen,olive,83731,4,"$8,893"
Dodge,lime,24372,2,"$3,275"
Nissan,yellow,49836,7,"$75,919"
Chevrolet,yellow,1202,6,"$14,735"
Subaru,aqua,54162,3,"$39,051"
Saab,white,47634,3,"$8,113"
Suzuki,purple,32706,3,"$43,869"
BMW,lime,10613,5,"$64,251"
Subaru,lime,23671,4,"$9,443"
Honda,navy,5293,6,"$11,103"
Dodge,white,56790,4,"$86,813"
Audi,yellow,21627,3,"$50,335"
Toyota,olive,4709,5,"$9,558"
Chevrolet,white,24006,3,"$32,996"
Acura,yellow,70298,3,"$73,474"
Volkswagen,aqua,30629,5,"$14,632"
BMW,green,67766,3,"$43,587"
Buick,white,57922,4,"$93,612"
Toyota,teal,21200,7,"$5,483"
Ford,purple,65117,2,"$90,934"
Mercedes-Benz,aqua,17277,6,"$67,703"
Ford,navy,30048,7,"$98,135"
GMC,blue,96686,4,"$78,080"
Honda,blue,87040,6,"$10,267"
Acura,white,41093,3,"$35,658"
Toyota,green,82309,2,"$19,426"
MINI,blue,81320,2,"$87,404"
Volkswagen,fuchsia,47923,3,"$23,124"
Chevrolet,silver,68188,5,"$20,414"
Ford,white,50783,7,"$5,377"
Dodge,olive,54283,7,"$24,432"
Volkswagen,blue,43038,2,"$50,594"
Ford,blue,48202,7,"$95,433"
Chevrolet,aqua,65770,3,"$94,276"
Volvo,green,52945,3,"$88,892"
Mercedes-Benz,purple,34739,4,"$8,886"
MAZDA,olive,11933,6,"$61,310"
Hyundai,aqua,95211,5,"$13,106"
INFINITI,silver,13904,7,"$82,016"
Toyota,silver,46609,6,"$48,520"
Volkswagen,black,66670,2,"$19,067"
Mercury,black,42592,3,"$35,672"
Volkswagen,teal,12614,4,"$93,372"
MAZDA,white,55940,7,"$67,190"
GMC,purple,16273,6,"$71,988"
GMC,black,6001,3,"$44,180"
Porsche,green,41595,2,"$82,284"
Daewoo,black,30049,5,"$87,607"
Jeep,gray,93540,4,"$58,185"
Cadillac,aqua,20027,6,"$14,874"
Mercedes-Benz,blue,1212,2,"$66,140"
Lexus,gray,99678,2,"$73,422"
Kia,gray,50585,3,"$22,913"
Pontiac,blue,82143,7,"$52,082"
GMC,navy,14470,2,"$59,309"
Mercedes-Benz,olive,74323,7,"$17,085"
MAZDA,aqua,57540,4,"$47,796"
Toyota,navy,17584,7,"$50,203"
Lotus,gray,40952,3,"$59,586"
Volkswagen,green,45892,6,"$19,641"
Mercedes-Benz,maroon,82001,6,"$51,781"
Volvo,maroon,45970,3,"$22,316"
Chrysler,gray,74767,4,"$79,606"
Hyundai,black,88135,6,"$58,183"
Dodge,aqua,93069,2,"$28,482"
INFINITI,maroon,74536,2,"$29,319"
McLaren,aqua,1045,6,"$85,040"
Toyota,black,38846,3,"$55,009"
BMW,white,16050,6,"$65,150"
Oldsmobile,yellow,2909,7,"$94,152"
Isuzu,black,26476,7,"$71,864"
Ford,olive,37918,2,"$42,187"
GMC,teal,41387,5,"$25,869"
Chevrolet,fuchsia,60819,4,"$54,718"
Dodge,green,74122,6,"$98,546"
Toyota,green,63127,5,"$6,384"
Honda,silver,62035,4,"$63,587"
Ram,gray,64363,2,"$50,234"
GMC,olive,80102,4,"$42,373"
Dodge,black,87950,4,"$10,997"
Audi,teal,14291,5,"$56,316"
Chevrolet,olive,24661,4,"$23,435"
Nissan,navy,80927,3,"$9,578"
Chrysler,white,93924,6,"$1,541"
Jeep,maroon,57069,7,"$78,380"
BMW,teal,17438,5,"$4,694"
Toyota,gray,77870,5,"$5,015"
Buick,fuchsia,55368,6,"$26,767"
Kia,navy,12672,5,"$35,947"
Chrysler,gray,69142,7,"$47,720"
MINI,teal,96503,6,"$33,743"
Ford,lime,12662,6,"$12,069"
Dodge,blue,43216,5,"$62,474"
GMC,blue,90546,5,"$66,888"
Suzuki,green,31790,3,"$82,649"
Nissan,teal,28116,6,"$45,921"
Subaru,olive,24824,2,"$41,943"
BMW,teal,99487,6,"$16,696"
Chevrolet,black,92418,3,"$11,468"
MAZDA,gray,54066,2,"$16,420"
Chevrolet,teal,25026,7,"$31,469"
Dodge,maroon,64842,5,"$46,646"
GMC,blue,65570,3,"$39,802"
Mercedes-Benz,white,10089,3,"$28,436"
Mitsubishi,silver,69304,3,"$35,518"
MINI,navy,77233,6,"$12,845"
Honda,purple,31173,2,"$74,036"
Dodge,olive,61937,5,"$63,029"
Ford,lime,63682,2,"$65,520"
Cadillac,fuchsia,41974,3,"$30,817"
Nissan,purple,62574,3,"$2,846"
Maybach,blue,98078,3,"$99,681"
Ford,green,55406,5,"$20,075"
Chevrolet,aqua,95741,7,"$92,139"
GMC,olive,85520,2,"$67,851"
Dodge,aqua,42519,2,"$98,224"
Mercedes-Benz,purple,76759,2,"$75,415"
Toyota,black,75819,7,"$83,709"
Chevrolet,teal,59932,4,"$58,570"
Cadillac,green,10747,2,"$77,787"
Chevrolet,lime,31683,3,"$97,789"
Mercedes-Benz,green,35156,2,"$82,289"
Mitsubishi,lime,3121,4,"$60,793"
GMC,aqua,94849,7,"$45,589"
Volkswagen,gray,24104,6,"$89,197"
Audi,maroon,22245,2,"$66,671"
GMC,fuchsia,67595,2,"$78,303"
Hyundai,yellow,10345,4,"$70,722"
Chevrolet,silver,72773,3,"$87,317"
Chevrolet,navy,66303,7,"$65,312"
Ford,aqua,92901,3,"$92,071"
Chevrolet,fuchsia,55872,3,"$64,123"
INFINITI,fuchsia,30373,2,"$83,471"
McLaren,green,31473,3,"$23,264"
Chevrolet,white,16118,7,"$91,444"
Audi,purple,84687,2,"$49,487"
Jeep,silver,64650,4,"$94,263"
Lexus,olive,24204,7,"$89,882"
Jaguar,navy,5552,2,"$37,420"
Aston Martin,fuchsia,68629,5,"$65,157"
Dodge,gray,35543,3,"$86,886"
Chevrolet,maroon,8431,6,"$14,157"
GMC,silver,91867,3,"$30,546"
Kia,blue,40469,2,"$20,597"
Subaru,purple,92333,3,"$13,294"
Daewoo,blue,30489,3,"$86,768"
Volkswagen,blue,18777,4,"$16,695"
Chevrolet,maroon,95951,3,"$45,686"
Hyundai,navy,65265,7,"$24,641"
Buick,blue,84183,2,"$77,354"
INFINITI,navy,14292,4,"$98,946"
Mitsubishi,aqua,17354,2,"$18,568"
Mitsubishi,lime,82837,5,"$49,179"
Ford,black,74608,6,"$89,652"
Dodge,purple,43934,4,"$36,158"
Toyota,olive,20119,6,"$77,058"
Pontiac,blue,12416,6,"$54,233"
GMC,black,78449,3,"$13,650"
Buick,lime,46954,3,"$12,716"
BMW,aqua,84837,2,"$99,570"
Cadillac,teal,42341,6,"$16,965"
GMC,white,9796,7,"$90,596"
Dodge,gray,27105,7,"$15,975"
Toyota,gray,92631,5,"$24,932"
Dodge,black,15715,2,"$22,575"
Oldsmobile,navy,72475,4,"$3,904"
Freightliner,green,39322,5,"$49,588"
Chevrolet,silver,91619,3,"$40,353"
Volvo,teal,44459,7,"$93,063"
Acura,yellow,40042,3,"$79,965"
Toyota,blue,28041,2,"$54,798"
Dodge,gray,44146,5,"$77,273"
Kia,navy,37058,7,"$3,581"
GMC,yellow,90913,4,"$88,156"
Ford,silver,44368,2,"$30,712"
Chrysler,aqua,86343,3,"$73,222"
Aston Martin,fuchsia,51731,7,"$83,188"
Toyota,teal,70916,7,"$12,104"
McLaren,aqua,49204,3,"$35,016"
Suzuki,teal,47781,6,"$77,548"
BMW,silver,63304,7,"$27,573"
Ford,blue,93016,4,"$75,848"
Suzuki,olive,70390,7,"$33,564"
Chevrolet,lime,23649,7,"$32,060"
GMC,silver,28573,5,"$42,841"
Buick,fuchsia,21245,3,"$83,351"
Volvo,green,48772,3,"$72,037"
Porsche,black,52133,6,"$78,333"
Ford,aqua,10043,4,"$40,212"
MAZDA,gray,42923,3,"$16,531"
MAZDA,olive,37047,4,"$14,105"
Nissan,white,4316,7,"$62,192"
Nissan,olive,1076,6,"$10,602"
Audi,aqua,66676,5,"$42,546"
Nissan,white,64040,6,"$67,712"
Lincoln,maroon,86784,7,"$65,131"
GMC,gray,58424,6,"$46,991"
Isuzu,white,80535,5,"$31,027"
Nissan,gray,8261,3,"$89,677"
Ford,silver,31078,5,"$52,310"
GMC,olive,91564,4,"$18,272"
Ferrari,yellow,78503,5,"$18,276"
GMC,yellow,67377,2,"$5,833"
Ford,green,91988,4,"$46,232"
Ford,purple,54395,7,"$3,166"
Volvo,lime,7733,7,"$41,497"
Dodge,aqua,92599,7,"$56,811"
Pontiac,white,9047,5,"$41,978"
Toyota,gray,3098,7,"$97,080"
Chevrolet,olive,83344,5,"$35,702"
Mercury,teal,73629,3,"$3,323"
GMC,aqua,50807,3,"$51,728"
BMW,olive,90374,4,"$56,304"
Mercedes-Benz,blue,61596,7,"$61,672"
Plymouth,yellow,92748,5,"$7,896"
Toyota,gray,48437,7,"$50,716"
Mercedes-Benz,lime,58978,4,"$77,015"
GMC,green,51449,6,"$49,055"
Suzuki,purple,96989,3,"$16,517"
Lexus,navy,78151,6,"$56,326"
Mercedes-Benz,gray,51355,3,"$57,280"
GMC,teal,7903,3,"$7,664"
Volkswagen,blue,53101,4,"$88,776"
Volkswagen,green,69081,3,"$76,729"
GMC,navy,1105,4,"$33,340"
Lexus,teal,37207,5,"$17,711"
Mercedes-Benz,navy,93937,2,"$6,784"
Acura,white,37864,3,"$35,184"
Buick,aqua,31355,5,"$68,108"
Porsche,white,59000,6,"$41,833"
Mercedes-Benz,aqua,4337,2,"$12,040"
Honda,olive,38687,7,"$89,786"
Lexus,gray,83901,4,"$22,315"
Toyota,fuchsia,96194,7,"$33,059"
Toyota,navy,23359,3,"$32,062"
Cadillac,green,41667,6,"$82,169"
Chrysler,silver,24575,4,"$92,087"
Buick,white,29218,4,"$32,102"
Bentley,aqua,85841,7,"$14,913"
Audi,aqua,13137,2,"$71,246"
MINI,teal,50022,4,"$26,693"
Bentley,lime,87185,5,"$7,860"
Dodge,white,95647,3,"$26,003"
Ford,navy,14370,2,"$90,273"
Nissan,olive,15123,5,"$16,654"
Chevrolet,purple,3690,4,"$56,786"
Dodge,fuchsia,89113,4,"$88,837"
Honda,olive,17850,7,"$93,245"
Audi,silver,94729,6,"$39,683"
Ferrari,blue,22784,6,"$41,725"
Oldsmobile,yellow,20366,4,"$77,510"
Volvo,green,38507,2,"$41,812"
Volkswagen,teal,78513,5,"$87,868"
GMC,green,67156,7,"$56,374"
Scion,blue,71114,4,"$61,813"
Ford,white,54762,2,"$66,496"
Toyota,navy,22712,7,"$52,756"
Porsche,aqua,46682,6,"$80,030"
MINI,gray,29601,5,"$65,876"
Toyota,maroon,38373,4,"$35,136"
BMW,silver,38146,5,"$30,514"
Mercedes-Benz,blue,70771,2,"$98,886"
Maserati,silver,28170,6,"$20,302"
INFINITI,blue,14292,7,"$78,457"
Maserati,navy,33358,5,"$85,727"
BMW,white,19238,6,"$51,548"
GMC,teal,50681,3,"$40,598"
Jaguar,maroon,98796,2,"$90,005"
Nissan,purple,59364,6,"$74,684"
Ram,aqua,86081,4,"$51,879"
Lincoln,gray,54445,3,"$72,230"
Toyota,silver,1340,5,"$10,073"
Dodge,lime,25078,3,"$2,710"
Nissan,purple,54317,7,"$28,650"
Mercedes-Benz,white,56355,3,"$66,918"
Porsche,olive,61884,6,"$99,679"
GMC,aqua,61695,7,"$36,548"
MINI,white,91700,5,"$53,277"
GMC,teal,32694,7,"$45,431"
Chevrolet,green,1570,7,"$82,965"
BMW,maroon,94648,2,"$62,403"
Audi,maroon,27997,6,"$26,998"
Hyundai,fuchsia,11357,6,"$47,423"
Nissan,olive,71974,4,"$99,094"
Cadillac,navy,66368,5,"$70,097"
Ford,fuchsia,14745,4,"$36,991"
Chevrolet,gray,61506,7,"$33,047"
Nissan,blue,27502,2,"$66,827"
Chevrolet,olive,69994,5,"$14,678"
MINI,aqua,92473,2,"$97,184"
GMC,aqua,29919,5,"$56,549"
GMC,aqua,31058,5,"$30,762"
Chevrolet,maroon,87972,3,"$46,434"
Toyota,green,69547,4,"$52,147"
Ram,purple,71097,7,"$71,762"
Ford,teal,19536,7,"$56,178"
Toyota,blue,97783,3,"$57,294"
GMC,silver,51920,7,"$47,290"
GMC,purple,41629,5,"$48,986"
Nissan,green,39287,5,"$72,791"
Land Rover,teal,16152,4,"$45,437"
Ford,maroon,82532,2,"$9,552"
Mercedes-Benz,purple,79976,3,"$65,459"
Honda,green,40063,3,"$11,604"
Ford,white,35617,4,"$68,534"
Lexus,lime,36050,5,"$68,465"
Pontiac,blue,18109,6,"$12,855"
Nissan,olive,83509,7,"$72,241"
GMC,green,75248,4,"$95,477"
GMC,gray,35606,2,"$85,573"
Volvo,green,91360,2,"$86,703"
Ford,lime,79561,3,"$98,226"
Nissan,lime,97854,2,"$10,842"
Acura,fuchsia,28398,4,"$82,924"
Toyota,maroon,24027,2,"$34,731"
Geo,silver,3782,2,"$7,858"
Dodge,olive,46424,5,"$51,469"
Chevrolet,black,86761,3,"$87,995"
Mercedes-Benz,gray,71037,7,"$29,197"
Dodge,navy,7144,4,"$41,236"
Chrysler,black,30092,3,"$23,323"
Ferrari,silver,2607,2,"$36,481"
Chevrolet,blue,93948,7,"$18,583"
MAZDA,black,60210,4,"$91,225"
Honda,navy,10454,6,"$53,761"
Lincoln,lime,88478,3,"$81,618"
Subaru,aqua,40161,6,"$26,728"
Toyota,olive,64343,4,"$41,574"
Isuzu,black,87453,5,"$60,223"
Kia,black,71335,6,"$63,078"
Chevrolet,aqua,83926,4,"$65,736"
Ford,white,9555,2,"$79,575"
Lexus,purple,93286,7,"$5,385"
GMC,aqua,35289,2,"$18,170"
Chevrolet,purple,4526,4,"$66,354"
Chrysler,olive,14798,5,"$37,461"
Kia,yellow,40939,4,"$93,572"
Oldsmobile,fuchsia,48288,2,"$67,278"
Ford,teal,49205,7,"$98,975"
Mitsubishi,fuchsia,25491,2,"$29,602"
Chevrolet,yellow,83017,4,"$4,568"
Scion,green,68763,3,"$11,569"
Subaru,fuchsia,89267,6,"$80,030"
Aston Martin,aqua,44612,2,"$34,562"
Lincoln,maroon,12339,4,"$14,249"
MAZDA,aqua,90272,2,"$82,179"
Cadillac,olive,26838,4,"$65,097"
BMW,lime,15849,3,"$72,575"
Hyundai,black,93870,7,"$37,548"
Mercedes-Benz,fuchsia,9591,2,"$96,674"
Mercedes-Benz,blue,89697,4,"$51,646"
Mitsubishi,purple,13148,5,"$33,936"
Saab,silver,77817,4,"$15,398"
Chrysler,maroon,50919,2,"$28,093"
Audi,yellow,55988,4,"$81,841"
Chevrolet,blue,30848,7,"$80,506"
Subaru,yellow,92864,7,"$92,010"
Land Rover,olive,37072,5,"$69,999"
Acura,fuchsia,60355,2,"$36,903"
Lexus,blue,1033,6,"$36,229"
Suzuki,aqua,92492,2,"$56,363"
GMC,green,23244,4,"$25,270"
Mercedes-Benz,blue,37712,3,"$93,137"
Subaru,purple,91285,6,"$82,217"
Subaru,fuchsia,21177,2,"$68,920"
Oldsmobile,yellow,86509,3,"$4,735"
Land Rover,yellow,38700,4,"$46,575"
Mercedes-Benz,silver,39506,4,"$71,762"
Toyota,gray,96757,5,"$57,277"
BMW,fuchsia,71099,2,"$92,219"
Toyota,lime,36858,7,"$10,231"
MAZDA,blue,29425,4,"$38,612"
Nissan,fuchsia,55852,6,"$40,031"
GMC,silver,11308,4,"$52,229"
Lexus,blue,47065,6,"$53,140"
Toyota,lime,71278,2,"$38,278"
Toyota,lime,78530,5,"$78,092"
Ford,aqua,26554,3,"$80,337"
Toyota,teal,13433,2,"$23,145"
Chevrolet,silver,3401,7,"$68,637"
GMC,navy,97609,6,"$80,004"
Cadillac,black,24933,3,"$57,502"
Dodge,white,81995,7,"$89,175"
Ram,gray,22567,2,"$34,220"
Dodge,maroon,29064,7,"$73,672"
Lexus,lime,1087,7,"$68,416"
Lincoln,white,17797,7,"$57,055"
Suzuki,olive,22720,5,"$69,592"
Chrysler,green,62472,2,"$92,550"
Dodge,aqua,62709,6,"$10,408"
Mercedes-Benz,lime,26339,4,"$45,336"
Buick,navy,12219,5,"$44,498"
Hyundai,green,79424,2,"$59,571"
Jaguar,yellow,44215,6,"$36,693"
Chevrolet,gray,71379,5,"$71,984"
Chevrolet,white,99974,3,"$73,761"
Toyota,white,13983,2,"$62,115"
Audi,olive,92391,2,"$29,447"
Land Rover,silver,68658,5,"$25,879"
Mitsubishi,maroon,29143,2,"$3,335"
Honda,olive,90906,6,"$64,956"
Cadillac,blue,45698,4,"$12,145"
Kia,gray,67105,5,"$20,048"
Mercedes-Benz,olive,25914,4,"$52,907"
MAZDA,navy,81186,5,"$91,935"
Honda,purple,32183,2,"$56,022"
Nissan,aqua,60548,6,"$13,899"
Nissan,aqua,71922,2,"$44,213"
Mercedes-Benz,olive,94368,7,"$45,463"
Hyundai,purple,7183,7,"$6,277"
Pontiac,fuchsia,60373,6,"$81,233"
Volkswagen,purple,50974,2,"$27,977"
GMC,yellow,42780,2,"$36,793"
Ford,olive,89692,2,"$16,349"
Ford,fuchsia,10285,4,"$17,885"
Lincoln,olive,21647,3,"$59,294"
Mercedes-Benz,white,48016,4,"$11,992"
Mercedes-Benz,fuchsia,69092,5,"$32,383"
Lexus,aqua,88142,7,"$20,007"
Mercedes-Benz,yellow,61797,3,"$36,490"
Nissan,black,77081,3,"$35,110"
Saab,blue,16906,2,"$1,399"
Audi,purple,73645,5,"$98,042"
Kia,teal,50070,6,"$5,165"
Audi,yellow,49321,5,"$27,364"
Toyota,fuchsia,56437,4,"$39,006"
Chevrolet,olive,57814,2,"$15,265"
Jeep,silver,40777,6,"$65,905"
Kia,aqua,89682,6,"$17,131"
Kia,black,80932,6,"$10,017"
Mercedes-Benz,blue,19728,6,"$70,863"
Chevrolet,olive,4036,7,"$60,219"
Chevrolet,white,91717,3,"$53,735"
Kia,aqua,77213,2,"$44,874"
INFINITI,teal,79653,3,"$2,082"
Plymouth,maroon,78051,4,"$58,179"
Honda,teal,93404,7,"$3,614"
Dodge,black,69299,5,"$65,016"
Ford,navy,63124,2,"$3,048"
Mercedes-Benz,yellow,99007,6,"$22,471"
Nissan,green,35356,3,"$57,367"
MAZDA,maroon,36107,5,"$96,562"
Chevrolet,black,94428,2,"$50,605"
Ford,purple,94537,4,"$80,042"
Lexus,blue,63182,7,"$22,209"
Volkswagen,maroon,28842,2,"$86,945"
MAZDA,aqua,59588,7,"$73,378"
Rolls-Royce,green,98204,4,"$33,076"
Nissan,white,77360,3,"$61,420"
Kia,yellow,36905,2,"$80,416"
Saturn,navy,34422,2,"$13,824"
Toyota,white,93759,2,"$48,718"
Honda,teal,6596,6,"$94,963"
Bentley,teal,41658,2,"$69,143"
MINI,yellow,15536,3,"$78,289"
Saturn,blue,3923,2,"$17,265"
Toyota,yellow,85597,2,"$46,181"
BMW,navy,85070,4,"$41,088"
MAZDA,black,97091,2,"$84,083"
Volvo,lime,12719,3,"$23,207"
INFINITI,purple,64739,7,"$70,135"
Chevrolet,yellow,62395,3,"$54,161"
Mitsubishi,aqua,64681,2,"$56,995"
Chevrolet,green,43707,7,"$3,150"
Chevrolet,lime,6833,3,"$96,526"
Ferrari,aqua,33583,4,"$92,254"
Kia,teal,77146,4,"$49,525"
Nissan,blue,94366,7,"$56,075"
Land Rover,blue,84564,7,"$42,430"
GMC,black,36909,7,"$81,066"
Nissan,teal,82602,4,"$52,052"
Honda,black,72700,6,"$37,718"
Pontiac,navy,9203,2,"$25,614"
Chevrolet,blue,3594,4,"$63,974"
Subaru,yellow,34702,4,"$61,696"
Volkswagen,teal,55023,4,"$71,145"
Lexus,olive,62935,3,"$48,856"
Mercedes-Benz,gray,73143,7,"$65,926"
Mercury,navy,70551,5,"$77,972"
Chevrolet,silver,39676,2,"$79,893"
Nissan,navy,49376,4,"$40,724"
Ferrari,blue,32039,5,"$53,928"
Lexus,blue,68358,3,"$94,188"
Subaru,olive,20408,7,"$70,897"
GMC,olive,65506,4,"$28,254"
Cadillac,black,7876,3,"$26,541"
Porsche,silver,20121,5,"$18,741"
BMW,olive,64442,2,"$64,235"
Acura,purple,91275,6,"$51,740"
Chevrolet,black,13655,6,"$68,155"
INFINITI,maroon,81579,2,"$15,230"
Eagle,white,72425,6,"$76,914"
Mitsubishi,olive,61568,2,"$71,709"
Subaru,black,12937,2,"$8,763"
Chevrolet,teal,41877,4,"$31,727"
Subaru,fuchsia,49023,3,"$18,950"
Toyota,green,50856,3,"$63,918"
HUMMER,lime,73710,6,"$82,104"
Hyundai,gray,4886,6,"$29,604"
Chevrolet,teal,17338,2,"$97,857"
Chevrolet,fuchsia,58075,4,"$50,508"
Mercury,fuchsia,76636,2,"$25,574"
Hyundai,purple,46469,4,"$30,657"
Ford,blue,34479,4,"$29,900"
BMW,black,68138,6,"$24,658"
Cadillac,olive,75700,3,"$11,871"
Volkswagen,silver,41098,7,"$79,728"
Ford,olive,93335,6,"$77,258"
Audi,white,59885,4,"$18,424"
